layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
logo_despegar,206,28,58,77,out4
cta,541,24,115,36,out4
texto4,301,52,100,11,out4
icono1,297,29,17,14,out4
texto5,320,50,150,63,out4
icono3,423,30,14,13,out4
texto7,422,50,103,37,out4
icono2,401,29,17,13,out4
texto6,402,51,79,14,out4
texto8,487,157,101,33,out4
codo_160x600,397,136,222,134,out4
placa1,417,137,163,116,out4
background2,0,0,300,600,out4
texto2,342,29,171,86,out4
texto1,314,28,135,17,out4
linea,440,27,41,4,out4
texto3,457,30,163,46,out4
background1,0,0,301,600,out4
