psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame1,0,background1,LayerKind.NORMAL,184,0,0,300,600
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame2,1,texto2,LayerKind.NORMAL,185,467,22,261,26
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame2,1,legal1,LayerKind.NORMAL,186,591,5,65,5
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame2,1,linea1,LayerKind.NORMAL,187,301,0,300,11
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame2,1,background2,LayerKind.NORMAL,188,0,0,300,600
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame3,2,texto3,LayerKind.NORMAL,189,460,24,166,33
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame3,2,legal2,LayerKind.NORMAL,190,592,5,92,5
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame3,2,linea2,LayerKind.NORMAL,191,298,0,300,113
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame3,2,background3,LayerKind.NORMAL,192,0,0,300,600
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame4,3,texto4,LayerKind.NORMAL,193,467,23,188,26
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame4,3,linea3,LayerKind.NORMAL,194,361,0,300,64
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame4,3,background4,LayerKind.NORMAL,195,0,0,300,600
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame5,4,cta,LayerKind.NORMAL,196,519,24,115,43
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame5,4,texto5,LayerKind.NORMAL,197,467,26,164,25
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame5,4,linea4,LayerKind.NORMAL,198,191,0,300,224
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame5,4,legal3,LayerKind.NORMAL,199,591,8,82,5
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,frame5,4,background5,LayerKind.NORMAL,200,0,0,300,600
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,5,texto1,LayerKind.NORMAL,201,446,24,60,14
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,5,evt,LayerKind.NORMAL,202,591,265,33,5
ar_medios_rl-v2_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,5,logo_despegar,LayerKind.NORMAL,203,24,26,125,154
