psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,interfaz,0,logo_despegar,LayerKind.NORMAL,204,189,32,52,69
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,legal,LayerKind.NORMAL,205,561,30,240,24
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,texto4,LayerKind.NORMAL,206,288,33,93,11
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,icono1,LayerKind.NORMAL,207,285,12,16,13
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,texto5,LayerKind.NORMAL,208,300,34,153,38
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,icono2,LayerKind.NORMAL,209,357,12,16,12
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,texto6,LayerKind.NORMAL,210,354,32,28,14
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,icono3,LayerKind.NORMAL,211,378,13,13,12
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,texto7,LayerKind.NORMAL,212,376,32,111,32
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,icono4,LayerKind.NORMAL,213,420,12,16,10
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,texto8,LayerKind.NORMAL,214,418,32,60,13
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,texto9,LayerKind.NORMAL,215,466,144,123,33
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,codo_160x600,LayerKind.SMARTOBJECT,216,302,131,285,209
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame2,1,background2,LayerKind.NORMAL,217,0,0,300,600
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame1,2,texto1,LayerKind.NORMAL,218,292,32,111,89
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame1,2,texto2,LayerKind.NORMAL,219,395,31,85,18
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame1,2,texto3,LayerKind.NORMAL,220,461,150,115,37
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame1,2,cta,LayerKind.NORMAL,221,534,146,108,40
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame1,2,codo_160x600,LayerKind.SMARTOBJECT,222,302,131,285,209
br_display_feriasdejulho_maceio_300x600_prod.psd,300,600,BR,DISPLAY,frame1,2,background1,LayerKind.NORMAL,223,0,0,300,600
