psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,interfaz,0,logo_despegar,LayerKind.NORMAL,242,206,28,58,77
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,interfaz,0,cta,LayerKind.NORMAL,243,541,24,115,36
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto4,LayerKind.NORMAL,244,301,52,100,11
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono1,LayerKind.NORMAL,245,297,29,17,14
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto5,LayerKind.NORMAL,246,320,50,150,63
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono3,LayerKind.NORMAL,247,423,30,14,13
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto7,LayerKind.NORMAL,248,422,50,103,37
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono2,LayerKind.NORMAL,249,401,29,17,13
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto6,LayerKind.NORMAL,250,402,51,79,14
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto8,LayerKind.NORMAL,251,487,157,101,33
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,codo_160x600,LayerKind.SMARTOBJECT,252,397,136,222,134
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,placa1,LayerKind.NORMAL,253,417,137,163,116
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,background2,LayerKind.NORMAL,254,0,0,300,600
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,texto2,LayerKind.NORMAL,255,342,29,171,86
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,texto1,LayerKind.NORMAL,256,314,28,135,17
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,linea,LayerKind.NORMAL,257,440,27,41,4
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,texto3,LayerKind.NORMAL,258,457,30,163,46
br_medios_americalatina_pacotes_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,background1,LayerKind.NORMAL,259,0,0,301,600
