psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,interfaz,0,logo_despegar,LayerKind.NORMAL,260,209,40,165,42
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,interfaz,0,cta,LayerKind.NORMAL,261,535,38,121,45
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto4,LayerKind.NORMAL,262,274,44,83,9
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono1,LayerKind.NORMAL,263,271,25,14,12
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto5,LayerKind.NORMAL,264,292,44,120,63
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono2,LayerKind.NORMAL,265,369,24,15,11
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto6,LayerKind.NORMAL,266,368,42,26,12
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono3,LayerKind.NORMAL,267,389,26,12,11
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto7,LayerKind.NORMAL,268,388,43,100,28
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,icono4,LayerKind.NORMAL,269,426,24,16,10
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto8,LayerKind.NORMAL,270,425,42,55,12
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto9,LayerKind.NORMAL,271,462,140,132,33
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,codo_160x600,LayerKind.SMARTOBJECT,272,367,120,240,141
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,placa1,LayerKind.NORMAL,273,392,120,180,116
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,background2,LayerKind.NORMAL,274,0,0,300,600
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,texto1,LayerKind.NORMAL,275,266,41,63,17
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,texto2,LayerKind.NORMAL,276,291,40,111,141
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,texto3,LayerKind.NORMAL,277,467,143,106,24
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,placa1,LayerKind.NORMAL,278,392,120,180,116
br_medios_especialinverno_300x600_prod.psd,300,600,BR,MEDIOS,frame1,2,background1,LayerKind.NORMAL,279,0,0,300,600
