psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame1,0,background1,LayerKind.NORMAL,300,0,0,300,600
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,texto2,LayerKind.NORMAL,301,467,22,263,26
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,legal1,LayerKind.NORMAL,302,591,4,66,5
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,linea1,LayerKind.NORMAL,303,301,0,300,11
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame2,1,background2,LayerKind.NORMAL,304,0,0,300,600
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame3,2,texto3,LayerKind.NORMAL,305,460,25,153,40
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame3,2,legal2,LayerKind.NORMAL,306,592,5,93,5
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame3,2,linea2,LayerKind.NORMAL,307,298,0,300,113
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame3,2,background3,LayerKind.NORMAL,308,0,0,300,600
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame4,3,texto4,LayerKind.NORMAL,309,467,23,189,26
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame4,3,linea3,LayerKind.NORMAL,310,361,0,300,64
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame4,3,background4,LayerKind.NORMAL,311,0,0,300,600
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame5,4,cta,LayerKind.NORMAL,312,516,23,103,33
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame5,4,texto5,LayerKind.NORMAL,313,467,24,167,25
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame5,4,legal3,LayerKind.NORMAL,314,590,5,95,5
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame5,4,linea4,LayerKind.NORMAL,315,150,0,300,248
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,frame5,4,background5,LayerKind.NORMAL,316,0,0,300,600
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,interfaz,5,texto1,LayerKind.NORMAL,317,446,23,52,14
br_medios_rl-v2_300x600_prod.psd,300,600,BR,MEDIOS,interfaz,5,logo_despegar,LayerKind.NORMAL,318,24,26,113,149
