psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame1,0,background1,LayerKind.NORMAL,346,0,0,300,600
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame2,1,texto2,LayerKind.NORMAL,347,467,22,263,26
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame2,1,legal1,LayerKind.NORMAL,348,591,4,66,5
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame2,1,linea1,LayerKind.NORMAL,349,301,0,300,11
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame2,1,background2,LayerKind.NORMAL,350,0,0,300,600
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame3,2,texto3,LayerKind.NORMAL,351,460,24,166,33
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame3,2,legal2,LayerKind.NORMAL,352,592,5,93,5
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame3,2,linea2,LayerKind.NORMAL,353,298,0,300,113
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame3,2,background3,LayerKind.NORMAL,354,0,0,300,600
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame4,3,texto4,LayerKind.NORMAL,355,467,23,189,26
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame4,3,linea3,LayerKind.NORMAL,356,361,0,300,64
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame4,3,background4,LayerKind.NORMAL,357,0,0,300,600
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame5,4,texto5,LayerKind.NORMAL,358,467,24,167,25
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame5,4,legal3,LayerKind.NORMAL,359,590,5,95,5
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame5,4,linea4,LayerKind.NORMAL,360,150,0,300,248
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,frame5,4,background5,LayerKind.NORMAL,361,0,0,300,600
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,interfaz,5,texto1,LayerKind.NORMAL,362,446,24,60,14
cl_display_rl-v2_300x600_prod.psd,300,600,CL,DISPLAY,interfaz,5,logo_despegar,LayerKind.NORMAL,363,24,26,125,154
