psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame1,0,background1,LayerKind.NORMAL,438,0,0,300,600
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame2,1,texto2,LayerKind.NORMAL,439,467,22,263,26
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame2,1,legal1,LayerKind.NORMAL,440,591,4,66,5
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame2,1,linea1,LayerKind.NORMAL,441,301,0,300,11
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame2,1,background2,LayerKind.NORMAL,442,0,0,300,600
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame3,2,texto3,LayerKind.NORMAL,443,460,24,166,33
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame3,2,legal2,LayerKind.NORMAL,444,592,5,93,5
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame3,2,linea2,LayerKind.NORMAL,445,298,0,300,113
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame3,2,background3,LayerKind.NORMAL,446,0,0,300,600
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame4,3,texto4,LayerKind.NORMAL,447,467,23,189,26
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame4,3,linea3,LayerKind.NORMAL,448,361,0,300,64
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame4,3,background4,LayerKind.NORMAL,449,0,0,300,600
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame5,4,cta,LayerKind.NORMAL,450,524,23,96,36
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame5,4,texto5,LayerKind.NORMAL,451,467,24,167,25
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame5,4,legal3,LayerKind.NORMAL,452,590,5,95,5
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame5,4,linea4,LayerKind.NORMAL,453,150,0,300,248
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,frame5,4,background5,LayerKind.NORMAL,454,0,0,300,600
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,5,texto1,LayerKind.NORMAL,455,446,24,60,14
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,5,logo_despegar,LayerKind.NORMAL,456,24,26,125,154
co_display_rl-v2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,5,rnt,LayerKind.NORMAL,457,592,263,33,5
