psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,rnt,LayerKind.NORMAL,511,553,288,6,39
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,logo_despegar,LayerKind.NORMAL,512,22,26,109,134
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,logo_outlet,LayerKind.NORMAL,513,172,26,235,17
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto1,LayerKind.NORMAL,514,197,26,150,28
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,icono1,LayerKind.NORMAL,515,246,29,21,17
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto2,LayerKind.NORMAL,516,247,56,215,15
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto3,LayerKind.NORMAL,517,274,26,240,91
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,legal,LayerKind.NORMAL,518,583,21,118,11
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,background1,LayerKind.NORMAL,519,403,0,300,197
co_medios_outlet_alojamientos_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,background_color1,LayerKind.NORMAL,520,0,0,300,600
