psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame1,0,background1,LayerKind.NORMAL,597,0,0,300,600
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame2,1,texto2,LayerKind.NORMAL,598,467,22,263,26
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame2,1,legal1,LayerKind.NORMAL,599,591,4,66,5
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame2,1,linea1,LayerKind.NORMAL,600,301,0,300,11
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame2,1,background2,LayerKind.NORMAL,601,0,0,300,600
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame3,2,texto3,LayerKind.NORMAL,602,460,24,166,33
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame3,2,legal2,LayerKind.NORMAL,603,592,5,93,5
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame3,2,linea2,LayerKind.NORMAL,604,298,0,300,113
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame3,2,background3,LayerKind.NORMAL,605,0,0,300,600
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame4,3,texto4,LayerKind.NORMAL,606,467,23,189,26
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame4,3,linea3,LayerKind.NORMAL,607,361,0,300,64
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame4,3,background4,LayerKind.NORMAL,608,0,0,300,600
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame5,4,texto5,LayerKind.NORMAL,609,467,24,167,25
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame5,4,legal3,LayerKind.NORMAL,610,590,5,95,5
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame5,4,linea4,LayerKind.NORMAL,611,150,0,300,248
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,frame5,4,background5,LayerKind.NORMAL,612,0,0,300,600
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,5,texto1,LayerKind.NORMAL,613,446,24,60,14
mx_display_rl-v2_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,5,logo_despegar,LayerKind.NORMAL,614,24,26,125,154
