psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,linea,LayerKind.NORMAL,26,233,175,1,31
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,logo2,LayerKind.NORMAL,27,234,80,26,26
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,texto5,LayerKind.NORMAL,28,239,112,55,18
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,logo1,LayerKind.NORMAL,29,241,28,43,13
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,logo_camara,LayerKind.NORMAL,30,540,249,34,34
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,texto4,LayerKind.NORMAL,31,282,23,159,35
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,logo_hotsale,LayerKind.NORMAL,32,112,23,87,15
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,logo3,LayerKind.NORMAL,33,234,186,68,29
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,codo1,LayerKind.SMARTOBJECT,34,90,17,440,180
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,placa1,LayerKind.NORMAL,35,227,18,254,41
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,texto2,LayerKind.NORMAL,36,163,22,69,54
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,texto3,LayerKind.NORMAL,37,176,97,133,40
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,texto1,LayerKind.NORMAL,38,144,23,35,12
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,logo_despegar,LayerKind.NORMAL,39,31,22,197,55
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,evt,LayerKind.NORMAL,40,588,246,41,6
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,cft,LayerKind.NORMAL,41,578,22,196,18
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,background1,LayerKind.NORMAL,42,358,0,300,242
ar_display_hot-sale_accion14_300x600_prod.psd,300,600,AR,DISPLAY,interfaz,0,background_color1,LayerKind.NORMAL,43,0,0,300,600
