psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,rnt,LayerKind.NORMAL,416,553,288,6,39
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,logo_despegar,LayerKind.NORMAL,417,22,26,109,134
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,logo_outlet,LayerKind.NORMAL,418,172,26,235,17
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto1,LayerKind.NORMAL,419,197,26,150,28
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto2,LayerKind.NORMAL,420,251,55,143,15
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,icono1,LayerKind.NORMAL,421,248,25,26,19
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto3,LayerKind.NORMAL,422,275,26,213,90
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,legal,LayerKind.NORMAL,423,583,21,118,11
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,background1,LayerKind.NORMAL,424,385,0,300,215
co_display_outlet_vuelos_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,background_color1,LayerKind.NORMAL,425,0,0,300,600
