psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,icono_llama1,LayerKind.SMARTOBJECT,587,176,24,27,30
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,logo_despegar,LayerKind.NORMAL,588,32,28,92,114
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,texto4,LayerKind.NORMAL,589,351,27,114,17
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,texto1,LayerKind.NORMAL,590,215,27,83,16
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,logo_hotsale,LayerKind.NORMAL,591,241,27,193,30
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,texto2,LayerKind.NORMAL,592,298,28,80,13
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,texto_mas,LayerKind.NORMAL,593,326,27,17,17
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,texto3,LayerKind.NORMAL,594,321,51,63,24
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,logo_camara,LayerKind.NORMAL,595,496,26,79,73
mx_display_pre-hotsale_300x600_prod.psd,300,600,MX,DISPLAY,interfaz,0,background,LayerKind.NORMAL,596,0,0,300,600
