psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,linea,LayerKind.NORMAL,147,233,175,1,31
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo2,LayerKind.NORMAL,148,234,80,26,26
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,texto5,LayerKind.NORMAL,149,239,112,55,18
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo1,LayerKind.NORMAL,150,241,28,43,13
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo_camara,LayerKind.NORMAL,151,540,249,34,34
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo4,LayerKind.NORMAL,152,282,23,159,35
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo_hotsale,LayerKind.NORMAL,153,112,23,85,15
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo3,LayerKind.NORMAL,154,234,186,68,29
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,codo1,LayerKind.SMARTOBJECT,155,109,19,388,159
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,placa1,LayerKind.NORMAL,156,227,18,254,41
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,texto2,LayerKind.NORMAL,157,163,22,69,54
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,texto3,LayerKind.NORMAL,158,176,97,133,40
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,texto1,LayerKind.NORMAL,159,144,23,35,12
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,logo_despegar,LayerKind.NORMAL,160,31,22,197,55
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,evt,LayerKind.NORMAL,161,588,246,41,6
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,cft,LayerKind.NORMAL,162,578,22,196,18
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,background1,LayerKind.NORMAL,163,359,0,300,241
ar_medios_hot-sale_accion14_300x600_prod.psd,300,600,AR,MEDIOS,interfaz,0,background_color1,LayerKind.NORMAL,164,0,0,300,600
