layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
background1,0,0,300,600,out7
texto2,467,22,263,26,out7
legal1,591,4,66,5,out7
linea1,301,0,300,11,out7
background2,0,0,300,600,out7
texto3,460,25,153,40,out7
legal2,592,5,93,5,out7
linea2,298,0,300,113,out7
background3,0,0,300,600,out7
texto4,467,23,189,26,out7
linea3,361,0,300,64,out7
background4,0,0,300,600,out7
cta,516,23,103,33,out7
texto5,467,24,167,25,out7
legal3,590,5,95,5,out7
linea4,150,0,300,248,out7
background5,0,0,300,600,out7
texto1,446,23,52,14,out7
logo_despegar,24,26,113,149,out7
