psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,rnt,LayerKind.NORMAL,383,323,8,6,39
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,logo_despegar,LayerKind.NORMAL,384,31,52,93,113
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,icono1,LayerKind.NORMAL,385,165,15,30,26
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto1,LayerKind.NORMAL,386,170,55,185,51
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto2,LayerKind.NORMAL,387,233,54,42,11
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto3,LayerKind.NORMAL,388,252,54,166,38
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto4,LayerKind.NORMAL,389,296,55,101,15
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,legal1,LayerKind.NORMAL,390,328,58,69,7
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,legal2,LayerKind.NORMAL,391,341,53,202,19
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,linea4,LayerKind.SMARTOBJECT,392,508,186,146,92
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,linea3,LayerKind.SMARTOBJECT,393,368,39,52,85
co_display_blackfriday_accion4_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,background,LayerKind.NORMAL,394,0,0,300,600
