psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,rnt,LayerKind.NORMAL,395,316,8,6,39
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,logo_despegar,LayerKind.NORMAL,396,33,27,93,113
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,icono1,LayerKind.NORMAL,397,169,25,35,25
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto1,LayerKind.NORMAL,398,206,27,167,20
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,texto2,LayerKind.NORMAL,399,240,27,239,33
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,linea,LayerKind.NORMAL,400,329,117,1,29
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,legal1,LayerKind.NORMAL,401,333,25,85,21
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,legal2,LayerKind.NORMAL,402,346,125,110,10
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,linea8,LayerKind.SMARTOBJECT,403,394,223,152,90
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,linea7,LayerKind.SMARTOBJECT,404,352,-39,141,138
co_display_extendimos_accion2_300x600_prod.psd,300,600,CO,DISPLAY,interfaz,0,background,LayerKind.NORMAL,405,0,0,300,600
