psd_name,psd_width,psd_heigth,country,banner_type,group_name,group_order,layer_name,layer_kind,layer_order,layer_top,layer_left,layer_width,layer_height
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,rnt,LayerKind.NORMAL,477,251,286,7,40
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,logo_despegar,LayerKind.NORMAL,478,31,19,181,50
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto1,LayerKind.NORMAL,479,126,19,174,48
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,icono1,LayerKind.NORMAL,480,150,202,29,24
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto2,LayerKind.NORMAL,481,197,19,49,13
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto3,LayerKind.NORMAL,482,218,19,198,46
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,texto4,LayerKind.NORMAL,483,272,20,120,18
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,legal,LayerKind.NORMAL,484,343,20,256,26
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,linea1,LayerKind.SMARTOBJECT,485,421,-8,144,91
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,linea2,LayerKind.SMARTOBJECT,486,438,218,144,91
co_medios_blackfriday-extendimos_accion1_300x600_prod.psd,300,600,CO,MEDIOS,interfaz,0,background,LayerKind.NORMAL,487,0,0,300,600
