layer_name,layer_top,layer_left,layer_width,layer_height,psd_name
fondo_color,0,0,300,600,estilo2_artif_out_12.csv
logo_chico_cuadrado,110.43462697416544,146.17085815407336,27,27,estilo2_artif_out_12.csv
logo_chico_cuadrado,89.4726945552975,246.06219590641558,108,108,estilo2_artif_out_12.csv
logo_chico_cuadrado,94.48580578900874,18.80831045564264,27,27,estilo2_artif_out_12.csv
logo_chico_cuadrado,415.1278424542397,85.31674754340202,108,108,estilo2_artif_out_12.csv
logo_chico_cuadrado,166.346828173846,192.39256151486188,27,27,estilo2_artif_out_12.csv
logo_chico_cuadrado,44.24746264703572,250.1689523924142,108,108,estilo2_artif_out_12.csv
logo_chico_cuadrado,248.473261250183,257.4432263150811,27,27,estilo2_artif_out_12.csv
logo_chico_cuadrado,368.1859520729631,138.2856308715418,108,108,estilo2_artif_out_12.csv
logo_chico_cuadrado,515.6769098248333,143.5902058146894,54,54,estilo2_artif_out_12.csv
logo_chico_rectangular,565.2509263716638,163.63488303031772,81,27,estilo2_artif_out_12.csv
logo_chico_cuadrado,38.02008396014571,223.92139825969934,54,54,estilo2_artif_out_12.csv
logo_chico_rectangular,373.18148226477206,247.92859749868512,81,27,estilo2_artif_out_12.csv
logo_chico_cuadrado,257.7434042003006,20.73203413747251,54,54,estilo2_artif_out_12.csv
logo_chico_rectangular,405.79955354332924,289.6758110029623,81,27,estilo2_artif_out_12.csv
