bajaron,links,id,WEBS,Provincia,Tipo_Op,Tipo,Zona,Direccion,latitude,longitude,Inmobiliaria,Tiempo,Cochera,Expensas,Prices,Antiguedad,Metros,Metros_Cub,Ambientes,Dormitorio,Moneda,Baños,Entrega,Descripcion,Declara_Expensas,p.x.m2
12,"<a class=""go-to-posting"" href=""/propiedades/venta-dto-1-amb-a-la-calle-macrocentro-44931117.html"" target=""_blank"">",44931117,https://www.zonaprop.com.ar/propiedades/venta-dto-1-amb-a-la-calle-macrocentro-44931117.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,Belgrano  3255,-37.9976045,-57.5548337,parodi-propiedades_30038416-inmuebles,120,0,NA,48000,3,27,27,1,1,USD,1,NA,""">En Belgrano 3255, a metros de Av. Independencia, encontramos este departamento nuevo de 1 Ambiente. Piso alto, muy luminoso! Bajas expensas. Características:<br>-	27 ms.<br>-	A la calle. <br>-	Piso alto, vista panorámica.<br>-	Estar con amplio frente y división hecha de Durlock.<br>-	Cocina con vista a la calle y conexión para lavarropas. Artefacto a gas.<br>-	Baño completo.<br>Otros Datos: <br>-	Aberturas DVH.<br>-	Pisos porcellanatos.<br>-	Persiana y roller block out.<br>-	Calefacción por radiadores. Caldera dual.<br>-	Edificio Nuevo sin amenities. Expensas bajas!<br><br><br>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>27m²",0,1777.7777777777778
6,"<a class=""go-to-posting"" href=""/propiedades/venta-de-departamento-3-ambientes-45219093.html"" target=""_blank"">",45219093,https://www.zonaprop.com.ar/propiedades/venta-de-departamento-3-ambientes-45219093.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,Tejedor 2283,-37.955301,-57.545375,re-max-arena_17150996-inmuebles,49,1,NA,70000,6,85,85,3,2,USD,1,NA,""">Corredor Responsable: Gilda F. Clauso - REG. 3350<br>Contacto: Paola Juárez - MLS ID # <span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span><br><br>Martillera Gilda Clauso Reg. 3350<br><br><br><br>Todas las propiedades que figuran en el perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él.<br><br><br><br><br><br><br><br>Departamento de tres ambientes. Totalmente reciclada. <br><br>Propiedad ubicada en la zona de constitución, a unos metros de la costa y a unas cuantas cuadras de la Avenida Constitución, gran centro comercial y propuestas gastronómicas. <br><br>Departamento al Contra-frente en segundo piso, con vista al parque. <br><br>Cuenta con living-comedor amplio y luminoso, cocina separada bien equipada, dos dormitorios con placares a la pared y baño completo. <br><br>Oportunidad!</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>85m²",0,823.5294117647059
5,"<a class=""go-to-posting"" href=""/propiedades/depto-de-3-amb-en-edificio-de-categoria.-palcos-del-45273642.html"" target=""_blank"">",45273642,https://www.zonaprop.com.ar/propiedades/depto-de-3-amb-en-edificio-de-categoria.-palcos-del-45273642.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,"Alem y Larrea, Palcos del Golf",-38.0329979747,-57.5403423694,gama-inmobiliaria_30032121-inmuebles,39,2,NA,330000,3,101,NA,3,2,USD,2,NA,""">Departamento en edificio de categoría, de 3 ambientes con cochera cubierta. Cuenta con living comedor con balcón saliente y una magnifica vista al mar y al Golf de Playa Grande. Cocina semi integrada con barra desayunadora. Lavadero integrado. Pasillo distribuidor. Dormitorio principal en suite, con gran placard y balcón corrido saliente al contrafrente. Segundo dormitorio con placard y salida al balcón. Baño completo.  Portero visor. Calefacción por losa radiante. Caldera individual.  Posibilidad de segunda cochera. Amenities: quincho, sauna, gimnasio, seguridad las 24 hs y piscinas.</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>101m²",0,3267.3267326732675
6,"<a class=""go-to-posting"" href=""/propiedades/semipiso-3-amb.-c-balcon-saliente-45165077.html"" target=""_blank"">",45165077,https://www.zonaprop.com.ar/propiedades/semipiso-3-amb.-c-balcon-saliente-45165077.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,Lamadrid 2500,-38.0099114,-57.5440682,ulivi-propiedades_17072669-inmuebles,62,0,NA,135000,7,65,63,3,2,USD,2,NA,""">Moderno y luminoso semipiso a la calle con balcón saliente. 3 ambientes, living comedor, cocina semi integrada. 2 dormitorios con palacares a medida, Baño completo. Toilette - Calefacción por loza radiante -Baulera - Digno de visitar!!! Escritura a cargo del comprador. Financia una parte. <br><br>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>65m²",0,2076.923076923077
9,"<a class=""go-to-posting"" href=""/propiedades/venta-semipiso-3-amb-reciclado-a-100-m-del-mar-45074198.html"" target=""_blank"">",45074198,https://www.zonaprop.com.ar/propiedades/venta-semipiso-3-amb-reciclado-a-100-m-del-mar-45074198.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,Aristobulo del Valle 3324,-38.0251411,-57.5323436,clauso-propiedades_17041114-inmuebles,80,0,NA,145000,NA,80,63,3,2,USD,2,NA,""">Martillera Gilda Clauso Reg. 3350<br><br>Todas las propiedades que figuran en el perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él.<br><br><br>Venta de Hermoso Semipiso 3 ambientes totalmente reciclado con Balcón y Vista Panorámica. Ingresando nos encontramos  con living-comedor luminoso con salida al balcón a la calle. Separado, nos encontramos con cocina, excelente ventilación, cañerías nuevas y obra de gas. El mismo cuenta con toilette y baño completo. Por pasillo nos comunicamos con dos dormitorios con vista a la calle. Uno de ellos viene con vestidor. <br><br>Características de la Unidad:<br>* Amplio living comedor con salida a balcón aterrazado<br>* Cocina reciclada con espacio de Heladera y espacio de lavarropas<br>* 2 dormitorios, el principal con vestidor. Ambos con vista a la calle.<br>* Baño completo con bañera y bidette<br>* Toilette de recepción <br><br>Características del edificio:<br><br>*emplazado a 20 metros del parque San Martin<br>* En la misma manzana del Chalet Soulignac y Mc Donald´s de la costa<br>* A 100 metros de la Costa<br>* A 100 metros de la calle comercial y con amplia oferta gastronómica Alem<br><br><br><br>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>80m²",0,1812.5
9,"<a class=""go-to-posting"" href=""/propiedades/venta-semipiso-3-amb-reciclado-a-100-m-del-mar-45074198.html"" target=""_blank"">",45074198,https://www.zonaprop.com.ar/propiedades/venta-semipiso-3-amb-reciclado-a-100-m-del-mar-45074198.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,Aristobulo del Valle 3324,-38.0251411,-57.5323436,clauso-propiedades_17041114-inmuebles,80,0,NA,145000,NA,80,63,3,2,USD,2,NA,""">Martillera Gilda Clauso Reg. 3350<br><br>Todas las propiedades que figuran en el perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él.<br><br><br>Venta de Hermoso Semipiso 3 ambientes totalmente reciclado con Balcón y Vista Panorámica. Ingresando nos encontramos  con living-comedor luminoso con salida al balcón a la calle. Separado, nos encontramos con cocina, excelente ventilación, cañerías nuevas y obra de gas. El mismo cuenta con toilette y baño completo. Por pasillo nos comunicamos con dos dormitorios con vista a la calle. Uno de ellos viene con vestidor. <br><br>Características de la Unidad:<br>* Amplio living comedor con salida a balcón aterrazado<br>* Cocina reciclada con espacio de Heladera y espacio de lavarropas<br>* 2 dormitorios, el principal con vestidor. Ambos con vista a la calle.<br>* Baño completo con bañera y bidette<br>* Toilette de recepción <br><br>Características del edificio:<br><br>*emplazado a 20 metros del parque San Martin<br>* En la misma manzana del Chalet Soulignac y Mc Donald´s de la costa<br>* A 100 metros de la Costa<br>* A 100 metros de la calle comercial y con amplia oferta gastronómica Alem<br><br><br><br>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>80m²",0,1812.5
6,"<a class=""go-to-posting"" href=""/propiedades/venta-hermoso-ph-3-ambientes-a-estrenar-45129442.html"" target=""_blank"">",45129442,https://www.zonaprop.com.ar/propiedades/venta-hermoso-ph-3-ambientes-a-estrenar-45129442.html,Buenos Aires Costa Atlántica,Venta,PH,Mar del Plata,Magallanes 4456,-38.036255,-57.557482,re-max-feliz_30062902-inmuebles,70,0,NA,69900,-1,51,49,3,2,USD,1,NA,""">Corredor Responsable: Ariel Martin Simone - REG. 3781<br>Contacto: Lucas Villoria - MLS ID # <span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span>-3<br><br>Martillero Ariel M. Simone. Reg. 3781<br><br><br><br><br><br>Todas las propiedades que figuran en el perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él.<br><br><br><br><br><br> VENTA | PH | Villa Lourdes<br><br>Hermoso PH de 3 Ambientes, de 51 mt2, con 2 habitaciones, cocina comedor muy amplio y luminoso. <br><br>Tiene una Excelente Ubicación, situado en Magallanes 4400, zona de gran crecimiento y afluencia, rodeado de plazas, Barrio lindero a San Carlos, a metros de la gruta de Lourdes <br><br>A estrenar,  muy Moderno y Super Luminoso!<br><br>El complejo posee solo 5 PH distribuidos en 2 plantas, es muy tranquilo, familiar y aceptan mascotas.<br><br>Este se encuentra en el frente , Sin Expensas, ideal para una familia tipo, que quiere vivir de una manera muy cómoda en un barrio tranquilo.<br><br><br><br>El complejo cuenta con trifásica, abarata los costos. <br><br><br><br>Características que posee el PH:<br><br><br><br>* Aire acondicionado frío-Calor tecnología inverter.<br><br>* Cocina eléctrica vitrocerámica.<br><br>* Cortinas black out.<br><br>* Apliques led en el  interior y en el exterior.<br><br>* Amplios placares.<br><br>* Termotanque eléctrico con wifi.<br><br>* Bajo mesadas.<br><br>* Purificador de aire.<br><br><br><br>COTI:<span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>51m²",0,1370.5882352941176
5,"<a class=""go-to-posting"" href=""/propiedades/vendo-departamento-2-ambientes-a-estrenar-gruta-45174191.html"" target=""_blank"">",45174191,https://www.zonaprop.com.ar/propiedades/vendo-departamento-2-ambientes-a-estrenar-gruta-45174191.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,El cano 4054,-38.037392,-57.552257,re-max-feliz_30062902-inmuebles,60,1,NA,68000,0,46,46,2,1,USD,1,NA,""">Corredor Responsable: Ariel Martin Simone - REG. 3781<br>Contacto: Valeria Contreras - MLS ID # <span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span>-1<br><br>Martillero Ariel M. Simone. Reg. 3781<br><br><br><br><br><br>Todas las propiedades que figuran en el perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él.<br><br><br><br><br><br>A estrenar, Moderno y Luminoso!<br><br>Hermosos Departamentos  de 2 Ambientes al contrafrente abierto, de 46.48 mt2 con balcón.<br><br>Cocina totalmente equipada, con termotanque, mesada de granito en una sola  pieza, bajo mesada, alacena y cava. Posee espacio para lavarropas y heladera. <br><br>Cómodo Living-comedor con salida al Balcón.<br><br>Habitación divida con moderno placard. Calido baño completo con detalles de calidad.<br><br>Muy buena Ubicación, cercana a Colegios, Plazas y transporte público. Barrio lindero a San Carlos, a seis cuadra de la Av Juan B. Justo y a dos de la gruta de Lourdes .<br><br><br><br>La torre 2 posee solo 5 departamentos distribuidos en 2 plantas (por escalera). Dos departamentos por piso, es muy seguro, aberturas con doble vidrio DVH, aislando tanto sonido como temperaturas externas. Seguridad por alarma y sensores de movimiento, doble ingreso de seguridad, el ingreso a la cochera es por medio de portón eléctrico levadizo automatizado. Portero visor.<br><br>Expensas muy bajas (solo limpieza de espacios comunes)<br><br>Posibilidad de adquirir Cochera descubierta <br><br>COTI:<span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>46m²",0,1478.2608695652175
5,"<a class=""go-to-posting"" href=""/propiedades/vendo-departamento-2-ambientes-a-estrenar-gruta-45174191.html"" target=""_blank"">",45174191,https://www.zonaprop.com.ar/propiedades/vendo-departamento-2-ambientes-a-estrenar-gruta-45174191.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,El cano 4054,-38.037392,-57.552257,re-max-feliz_30062902-inmuebles,60,1,NA,68000,0,46,46,2,1,USD,1,NA,""">Corredor Responsable: Ariel Martin Simone - REG. 3781<br>Contacto: Valeria Contreras - MLS ID # <span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span>-1<br><br>Martillero Ariel M. Simone. Reg. 3781<br><br><br><br><br><br>Todas las propiedades que figuran en el perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él.<br><br><br><br><br><br>A estrenar, Moderno y Luminoso!<br><br>Hermosos Departamentos  de 2 Ambientes al contrafrente abierto, de 46.48 mt2 con balcón.<br><br>Cocina totalmente equipada, con termotanque, mesada de granito en una sola  pieza, bajo mesada, alacena y cava. Posee espacio para lavarropas y heladera. <br><br>Cómodo Living-comedor con salida al Balcón.<br><br>Habitación divida con moderno placard. Calido baño completo con detalles de calidad.<br><br>Muy buena Ubicación, cercana a Colegios, Plazas y transporte público. Barrio lindero a San Carlos, a seis cuadra de la Av Juan B. Justo y a dos de la gruta de Lourdes .<br><br><br><br>La torre 2 posee solo 5 departamentos distribuidos en 2 plantas (por escalera). Dos departamentos por piso, es muy seguro, aberturas con doble vidrio DVH, aislando tanto sonido como temperaturas externas. Seguridad por alarma y sensores de movimiento, doble ingreso de seguridad, el ingreso a la cochera es por medio de portón eléctrico levadizo automatizado. Portero visor.<br><br>Expensas muy bajas (solo limpieza de espacios comunes)<br><br>Posibilidad de adquirir Cochera descubierta <br><br>COTI:<span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span>
</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>46m²",0,1478.2608695652175
9,"<a class=""go-to-posting"" href=""/propiedades/2-ambs.-contrafrente-reciclado-44796086.html"" target=""_blank"">",44796086,https://www.zonaprop.com.ar/propiedades/2-ambs.-contrafrente-reciclado-44796086.html,Buenos Aires Costa Atlántica,Venta,Departamento,Mar del Plata,Rivadavia 2500,-38.000847,-57.546523,scarano-propiedades_17126529-inmuebles,157,0,NA,59900,50,33,33,2,1,USD,1,NA,""">cocina separada <br>baño completo <br>pisos porcelanato y parquet (dorm) <br>revestimientos cerámicos <br>muebles <br>calefactor tb <br>amplios placares <br><br>CONSULTAS: SCARANO propiedades - Reg.2082 <br>Corrientes 2086 - Mar del Plata <br>+54 0223 <span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span> <br><span class=""descripcionDatosAnunciante""><button class=""btn btn-link js-verDatos"" href=""#"">Ver datos</button></span> .ar</div>
		</div>
	</div>

	
		
		<ul class=""section-icon-features"">
<li class=""icon-feature"">
				<i class=""icon-f icon-f-stotal""></i>
				<br><b>33m²",0,1815.1515151515152
