long,lat,order,hole,piece,id,group,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2
-57.63236237,-38.16597366,1,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63263702,-38.16597366,2,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63263702,-38.16624832,3,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6329155,-38.16624832,4,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.6329155,-38.16652679,5,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63319397,-38.16652679,6,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63319397,-38.16680527,7,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63375092,-38.16680527,8,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63375092,-38.16708374,9,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
-57.63402939,-38.16708374,10,FALSE,1,51,51.1,ARG,Argentina,ARG.1_1,Buenos Aires,NA,ARG.1.52_1,General Pueyrredón,Mar del Plata,NA,Partido,Part,NA,AR.BA.GP
