Tipo,Cantidad,Precio_M2,Tamaño,Precio
Departamento,15562,2065.9876327162074,69.69566255471548,138746.70011093077
Casa,5489,810.9182903190856,434.10965897488256,245959.69811365855
PH,1645,1207.0572593150046,100.88436830835117,99352.11909949165
Terrenos,1451,743.054285209632,699.9603356216628,316333.8078291815
Local comercial,659,1750.7537434208991,208.30232558139534,197578.80731707317
Oficina comercial,287,1568.8820381264559,98.34848484848484,125887.4902332762
Garage,245,912.2655122655123,1931.7272727272727,803428.5714285715
Fondo de Comercio,132,1221.1553583095185,968.1011235955057,1340015.625
Bodega-Galpón,99,611.0479662422637,874.6578947368421,336943.3962264151
Edificio,51,1736.780684751636,758.925,887349.6153846154
